antibody_id,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Crenezumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Crenezumab.pdb,79.48805669682157,46,4.69712714744064,2.3341143131256104,554.0738461853272,,H1-10-1,H2-16-?,H3-3,L1-11-1,L2-7-1,L3-9,,6.98,-0.271,43.0,-0.0,0.556,3.0,0,5,1,,HIGH,0.7758,19,0,57,5
Crizanlizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Crizanlizumab.pdb,77.33370885999753,69,4.71968313414984,2.766355037689209,576.044258939945,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.53,-0.49,37.0,-2.2,0.667,3.0,0,0,2,hydro_patch_moderate (0.67),HIGH,0.5684,10,11,37,5
Crusekitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Crusekitug.pdb,82.4729424629085,81,4.6381093590122875,2.067939519882202,527.8414153191616,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.32,-0.166,40.4,1.9,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.7245,14,3,42,4
Cusatuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cusatuzumab.pdb,89.57881652988104,80,4.619810856362533,1.0339694023132324,527.1650461288069,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.97,-0.192,29.4,-5.0,0.667,4.0,0,3,2,pI_unusually_low (4.97); hydro_patch_moderate (0.67),HIGH,0.6911,24,5,50,5
Dacetuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dacetuzumab.pdb,78.72012986234544,61,4.619991393493755,1.0755151510238647,534.1754983543201,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,9.18,-0.286,30.4,6.1,0.667,3.0,0,3,0,hydro_patch_moderate (0.67),HIGH,0.7282,22,4,35,5
Daclizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Daclizumab.pdb,85.1262432135301,61,4.704108547854733,2.8253397941589355,577.5941950915201,,H1-10-1,H2-16-?,H3-7,L1-10-1,L2-7-1,L3-9,,8.58,-0.388,38.9,3.0,0.556,3.0,0,0,0,,HIGH,0.6449,28,9,30,5
Dalidnetug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dalidnetug.pdb,80.208222749128,73,4.633615009396036,1.5896029472351074,486.33841073123983,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.416,41.7,3.0,0.556,3.0,0,2,1,,HIGH,0.6792,23,1,46,4
Dalotuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dalotuzumab.pdb,79.96033211385212,73,4.670317331718844,1.3137205839157104,530.1161535478341,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.79,-0.306,31.5,3.9,0.556,3.0,0,1,1,,HIGH,0.7194,24,3,53,4
Dapirolizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dapirolizumab.pdb,86.11078421118248,83,4.595235102718934,0.5928088426589966,565.5870161885274,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.31,-0.304,36.6,2.1,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7292,25,6,28,5
Daretabart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Daretabart.pdb,78.35330855176112,59,4.666619096936878,2.507113456726074,625.825741088185,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,8.97,-0.337,34.7,5.2,0.556,3.0,0,1,0,,HIGH,0.6684,34,13,18,5
Datopotamab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Datopotamab.pdb,82.75233776129538,69,4.703729810510277,2.1330020427703857,550.9119208822839,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.78,-0.248,31.9,3.9,0.556,3.0,0,0,0,,HIGH,0.6356,21,15,28,5
Dazukibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dazukibart.pdb,85.51181204930373,74,4.691247182078175,2.2109880447387695,500.4994380685981,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.29,-0.369,42.8,2.0,0.556,3.0,0,0,1,,HIGH,0.5271,7,9,38,4
Delpacibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Delpacibart.pdb,82.29106965676428,64,4.702150415123245,2.3485395908355713,562.4979522731027,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.82,-0.383,40.3,4.0,0.667,3.0,0,1,1,hydro_patch_moderate (0.67),HIGH,0.6354,18,5,33,5
Demcizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Demcizumab.pdb,78.6342238520704,73,4.691201212641957,0.7841740846633911,553.8638647503551,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.89,-0.346,31.4,-1.2,0.556,3.0,0,1,1,,HIGH,0.5859,11,11,34,4
Denikitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Denikitug.pdb,75.65342293683165,68,4.597469456760507,0.7491147518157959,516.9791348808983,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.81,-0.282,39.0,4.0,0.556,3.0,2,2,2,,HIGH,0.6848,11,5,53,3
Denintuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Denintuzumab.pdb,84.47305410926441,76,4.763702395796044,2.34604549407959,562.8276506411245,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,6.99,-0.172,37.6,-0.0,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.7114,26,2,42,5
Depatuxizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Depatuxizumab.pdb,87.59946289055414,62,4.715039575593711,1.78932523727417,510.99821791088385,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.62,-0.357,36.7,2.9,0.556,3.0,0,2,1,,HIGH,0.5282,17,9,23,5
Depemokimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Depemokimab.pdb,73.79189913828908,78,4.7032982449839364,2.2660608291625977,515.9594524453593,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.228,30.1,1.9,0.778,2.0,0,2,1,hydro_patch_high (0.78),HIGH,0.6881,19,0,36,5
Dezamizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dezamizumab.pdb,80.7126221758275,82,4.664154213476339,1.835135817527771,568.4305332221478,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.06,-0.419,41.9,0.1,0.556,3.0,0,0,3,,HIGH,0.5755,7,9,38,4
Disitamab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Disitamab.pdb,82.02197711027415,61,4.5948031527441255,1.0479060411453247,591.4047620604069,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-7,,7.86,-0.38,31.7,1.2,0.667,3.0,1,0,1,hydro_patch_moderate (0.67),HIGH,0.6074,17,12,34,5
Divozilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Divozilimab.pdb,84.30883697154358,68,4.664949777733041,1.0142329931259155,577.7532657085438,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,9.1,-0.327,38.0,6.0,0.556,3.0,0,1,0,,HIGH,0.6878,37,5,15,5
Domagrozumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Domagrozumab.pdb,86.9715506594861,62,4.686613352917835,1.8441553115844727,497.60320641924744,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.6,-0.317,41.2,2.9,0.556,3.0,0,2,1,,HIGH,0.7009,21,1,63,4
Domvanalimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Domvanalimab.pdb,85.41236844862873,81,4.591643632902338,1.1124248504638672,446.62379441328864,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.82,-0.272,41.6,4.0,0.667,3.0,0,2,0,hydro_patch_moderate (0.67),HIGH,0.7246,14,2,53,3
Donanemab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Donanemab.pdb,77.61751080567414,55,4.722529747547248,1.5035014152526855,608.2480864413877,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,8.77,-0.335,34.6,3.8,0.667,3.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.623,15,8,43,4
Donitabart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Donitabart.pdb,78.92416221164028,58,4.660107300310078,1.9288945198059082,633.3101941952777,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,9.45,-0.319,29.3,9.1,0.556,3.0,0,1,0,,HIGH,0.6478,22,14,22,5
Donzakimig2,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Donzakimig2.pdb,82.88797442494527,55,4.659533483898221,2.380401134490967,564.6454834882408,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-8,,6.95,-0.425,38.1,-0.0,0.556,3.0,1,0,1,,HIGH,0.5302,12,17,30,5
Dostarlimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dostarlimab.pdb,86.3892700222133,68,4.698827160567772,2.619657516479492,488.2582209848884,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,6.97,-0.288,41.9,-0.0,0.667,3.0,1,2,1,hydro_patch_moderate (0.67),HIGH,0.6796,11,5,45,3
Dresbuxelimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Dresbuxelimab.pdb,72.5480437042855,83,4.684705752099466,2.2274277210235596,514.6473270036794,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.75,-0.387,32.8,0.8,0.667,2.0,1,1,0,hydro_patch_moderate (0.67),HIGH,0.6296,21,6,31,4
Drotokibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Drotokibart.pdb,87.38765878581117,73,4.57450969029164,0.9063658118247986,535.5554992142778,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,8.64,-0.145,48.1,2.9,0.667,3.0,2,1,0,hydro_patch_moderate (0.67),HIGH,0.8148,13,0,54,5
Duligotuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Duligotuzumab.pdb,85.22771466510979,75,4.715154774109425,1.907239317893982,579.918472309349,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.93,-0.25,38.4,-5.1,0.667,3.0,0,1,1,pI_unusually_low (4.93); hydro_patch_moderate (0.67),HIGH,0.7593,20,3,39,4
Ebdarokimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ebdarokimab.pdb,82.43800145216154,77,4.644202395062137,1.7721256017684937,501.0374502094917,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.307,52.9,1.8,0.556,3.0,0,0,1,,HIGH,0.4971,9,15,25,4
Ebribafusp,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ebribafusp.pdb,77.82753223742287,51,4.724075102899957,2.804624080657959,620.2890701903301,,H1-10-1,H2-16-?,H3-2,L1-11-1,L2-7-1,L3-9,,8.98,-0.317,39.9,4.8,0.556,3.0,1,0,3,,HIGH,0.5995,9,8,37,5
Eclutatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eclutatug.pdb,83.99133127455265,68,4.721177769750176,1.9092695713043213,484.3545656563327,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.01,-0.334,39.8,4.9,0.556,2.0,0,2,1,,HIGH,0.6768,16,9,51,5
Eculizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eculizumab.pdb,81.51964226304773,74,4.6361652743185875,1.8245021104812622,613.3379273071258,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.23,-0.276,31.8,-2.3,0.556,3.0,0,0,1,pI_unusually_low (5.23),HIGH,0.6963,16,6,37,5
Eglatoprutug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eglatoprutug.pdb,79.36831816273667,70,4.7343271586911895,2.4534013271331787,587.328228815115,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.75,-0.391,38.6,-2.1,0.667,3.0,1,1,0,hydro_patch_moderate (0.67),HIGH,0.537,10,12,44,5
Elegrobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Elegrobart.pdb,76.20014800009109,72,4.722472898477724,2.0142693519592285,554.2669533407585,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.02,-0.367,37.0,5.0,0.556,3.0,0,1,1,,HIGH,0.6893,45,11,0,5
Elezanumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Elezanumab.pdb,86.60251392065659,70,4.621794099497688,1.0071569681167603,591.3000776482047,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.85,-0.327,43.0,1.0,0.556,4.0,0,0,1,,HIGH,0.6282,12,8,40,5
Elotuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Elotuzumab.pdb,82.20254683240816,73,4.603286875940946,1.1432199478149414,459.6409704834686,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.87,-0.318,36.5,-1.1,0.667,3.0,1,2,2,hydro_patch_moderate (0.67),HIGH,0.6448,19,2,47,5
Eltrekibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eltrekibart.pdb,80.82380884287413,77,4.562528321217642,0.650745689868927,641.6879316844834,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.92,-0.463,43.2,-0.1,0.556,3.0,1,1,0,,HIGH,0.6345,15,12,37,4
Emactuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Emactuzumab.pdb,85.32158890056533,68,4.637047170868476,1.7563645839691162,549.8860612901899,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.3,-0.401,37.5,1.7,0.667,3.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.642,8,6,46,3
Emibetuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Emibetuzumab.pdb,83.03612336231225,62,4.584774267193265,1.1665343046188354,562.4056234830075,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,8.96,-0.377,39.0,4.9,0.556,3.0,0,0,0,,HIGH,0.6145,16,9,45,5
Empasiprubart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Empasiprubart.pdb,78.53821491073879,76,4.720774872803394,2.652630567550659,550.1041729051501,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.96,-0.511,29.6,-1.9,0.667,3.9,1,0,1,hydro_patch_moderate (0.67),HIGH,0.6257,18,11,27,5
Emugrobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Emugrobart.pdb,83.33899440134597,72,4.5595871395471566,0.9676242470741272,611.2388643216482,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.32,-0.168,35.9,-1.0,0.667,2.9,1,0,0,hydro_patch_moderate (0.67),HIGH,0.6164,28,0,35,5
Emunkitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Emunkitug.pdb,86.58601645849751,67,4.577431086591772,1.3620715141296387,517.5951737113315,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,8.59,-0.366,40.2,2.7,0.667,3.0,1,0,1,hydro_patch_moderate (0.67),HIGH,0.5978,15,13,24,5
Enavatuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Enavatuzumab.pdb,78.52898034237757,66,4.688947210764752,2.5124785900115967,480.7993496049743,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.36,-0.351,51.1,-0.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7802,28,3,61,4
Encelimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Encelimab.pdb,76.2247382525672,52,4.686438930034638,2.506948232650757,577.2450371750033,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,6.48,-0.259,39.1,-0.8,0.667,3.0,2,0,2,hydro_patch_moderate (0.67),HIGH,0.5847,21,20,20,5
Enibarcimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Enibarcimab.pdb,77.91964112788975,72,4.716488127829226,2.12811279296875,517.9493673390726,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.92,-0.345,41.8,-1.2,0.556,3.0,0,1,1,,HIGH,0.6345,18,11,35,3
Enoblituzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Enoblituzumab.pdb,85.28742972130028,74,4.630246726826567,0.5964677929878235,462.2799528183799,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.31,-0.377,37.3,1.9,0.556,3.0,0,2,1,,HIGH,0.6958,12,3,47,5
Enzelkitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Enzelkitug.pdb,83.40329307356174,70,4.734364922732523,1.1642651557922363,592.5852312079567,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.33,-0.236,39.9,1.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7054,22,0,38,5
Epacmarstobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Epacmarstobart.pdb,81.81914083272065,69,4.609846561899083,1.4932039976119995,549.7123783403363,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.26,-0.305,31.1,1.9,0.556,3.0,0,0,0,,HIGH,0.5681,14,10,39,4
Epratuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Epratuzumab.pdb,71.18648672545525,59,4.6663829935846515,2.1688759326934814,470.23616842228694,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-8,,8.57,-0.486,45.0,3.0,0.667,3.0,1,0,0,hydro_patch_moderate (0.67),HIGH,0.5795,19,18,19,5
Eptinezumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eptinezumab.pdb,80.20102768855618,45,4.762708110194052,2.95554518699646,803.1005235646296,,H1-10-1,H2-16-?,H3-3,L1-11-1,L2-7-1,L3-9,,6.82,-0.105,38.1,-0.1,0.667,3.0,0,4,0,hydro_patch_moderate (0.67),HIGH,0.7185,25,0,30,5
Erlizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Erlizumab.pdb,81.84470143671098,73,4.710614886514994,2.5204150676727295,515.1603530110015,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.429,36.3,2.1,0.556,3.0,1,2,0,,HIGH,0.6941,25,3,30,4
Etakafusp,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etakafusp.pdb,83.35031356424831,72,4.694601893573258,1.8436557054519653,564.732484660794,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.204,42.8,2.7,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5604,5,4,58,5
Etalanetug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etalanetug.pdb,79.7863243300682,74,4.695129590227425,2.036468982696533,472.96632501199326,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.326,34.7,1.0,0.556,3.0,0,3,1,,HIGH,0.6237,15,15,43,5
Etaracizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etaracizumab.pdb,87.41453922173342,65,4.750565867478351,2.6497440338134766,532.6708639688097,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.93,-0.25,48.6,4.0,0.556,3.0,0,2,0,,HIGH,0.5946,14,16,54,4
Etigilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etigilimab.pdb,82.89612905773072,76,4.695579059607064,1.2278163433074951,540.9343076992837,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.1,-0.289,34.1,5.8,0.556,3.0,0,0,0,,HIGH,0.6986,23,2,37,3
Etokimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etokimab.pdb,79.92103390684484,57,4.719804994637955,2.4485397338867188,554.1566952195901,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.27,-0.359,37.9,7.9,0.667,3.0,2,1,0,hydro_patch_moderate (0.67),HIGH,0.533,15,12,46,4
Etrolizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Etrolizumab.pdb,85.00921901474685,75,4.624970037877829,1.2236895561218262,635.174482034762,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.317,36.0,1.9,0.556,3.0,0,2,0,,HIGH,0.7072,24,1,50,4
Eurestobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Eurestobart.pdb,83.83796313446462,77,4.463671139779344,0.38204094767570496,551.9902987405675,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,8.79,-0.314,40.5,3.9,0.556,3.0,0,1,0,,HIGH,0.6881,29,11,20,5
Exidavnemab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Exidavnemab.pdb,78.60278970253651,83,4.748031606065466,2.481207847595215,469.48073188982613,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.64,-0.14,35.2,3.0,0.667,3.0,0,1,0,hydro_patch_moderate (0.67),HIGH,0.7628,22,4,40,3
Exlinkibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Exlinkibart.pdb,85.47438087112259,70,4.6028688957281725,1.1834684610366821,554.8723500260778,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.84,-0.419,37.3,3.9,0.667,2.0,1,0,0,hydro_patch_moderate (0.67),HIGH,0.5714,6,12,38,4
Ezabenlimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ezabenlimab.pdb,80.6577681514429,68,4.628760895674879,1.3291873931884766,525.9400553773681,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.245,45.2,0.9,0.667,3.0,1,2,0,hydro_patch_moderate (0.67),HIGH,0.688,14,5,40,4
Falbikitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Falbikitug.pdb,74.95996988890583,64,4.656101410052715,1.8839281797409058,490.6040312023638,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,5.8,-0.349,45.8,-2.9,0.667,3.0,0,1,3,hydro_patch_moderate (0.67),HIGH,0.6651,20,6,47,4
Farletuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Farletuzumab.pdb,83.73767366903213,87,4.617782041183205,1.8862676620483398,569.2582263856411,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.321,43.3,1.0,0.667,3.0,0,0,2,hydro_patch_moderate (0.67),HIGH,0.6954,27,2,19,5
Favezelimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Favezelimab.pdb,78.54531480803237,67,4.724529298709675,1.9912413358688354,573.6909730409511,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.98,-0.53,33.5,-5.2,0.556,4.0,0,0,2,pI_unusually_low (4.98),HIGH,0.6019,22,9,37,5
Feladilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Feladilimab.pdb,86.28238441521982,77,4.670784711216239,1.0796509981155396,580.2511198474743,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-9,,6.99,-0.36,40.6,-0.0,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.6455,30,10,29,5
Felzartamab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Felzartamab.pdb,87.59520186553215,70,4.542914862206528,1.096888542175293,543.5728711551748,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.84,-0.278,36.9,-1.2,0.556,4.0,3,3,2,,HIGH,0.5929,29,10,44,5
Fepixnebart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Fepixnebart.pdb,76.61013075694548,79,4.657656387737819,1.6263872385025024,569.7121498721706,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.79,-0.274,36.0,4.0,0.667,3.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.5299,15,10,41,4
Ficlatuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ficlatuzumab.pdb,82.21273115501153,62,4.672812055010314,2.0205745697021484,566.4124814392305,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.34,-0.436,31.3,-1.0,0.556,3.0,0,1,1,,HIGH,0.6928,37,2,12,5
Finotonlimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Finotonlimab.pdb,81.62426353263396,76,4.574089465347038,0.5879209637641907,514.580261854507,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.36,-0.327,45.6,1.9,0.556,3.0,0,2,2,,HIGH,0.6341,20,11,38,5
Firastotug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Firastotug.pdb,83.6532789120482,62,4.7210310431551346,2.5064408779144287,551.9047204476868,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.83,-0.397,41.0,3.9,0.667,3.0,0,2,0,hydro_patch_moderate (0.67),HIGH,0.716,25,3,36,4
