ab_id,vh_germline,vl_germline,vh_identity,vl_identity,origin
Ranibizumab,IGHV3-23*04,IGKV1-16*01,0.7551,0.8737,engineered_458
Ravagalimab,IGHV3-21*05,IGKV4-1*01,0.9082,0.8911,engineered_458
Ravulizumab,IGHV1-46*01,IGKV1-39*01,0.8163,0.8421,engineered_458
Recaticimab,IGHV1-2*02,IGKV4-1*01,0.898,0.7525,engineered_458
Recibokibart,IGHV1-2*02,IGKV3-20*01,0.8878,0.9062,engineered_458
Refanezumab,IGHV7-4-1*02,IGKV4-1*01,0.9388,0.9406,engineered_458
Reflocibart,IGHV1-2*02,IGKV1-39*01,0.8878,0.8842,engineered_458
Remzistotug,IGHV1-69*01,IGKV1-39*01,0.9592,0.9579,engineered_458
Reslizumab,IGHV3-66*01,IGKV1-39*01,0.7629,0.8842,engineered_458
Resugosbart,IGHV1-18*01,IGKV1-39*01,0.7959,0.8105,engineered_458
Retifanlimab,IGHV1-46*01,IGKV7-3*01,0.8163,0.6667,engineered_458
Revdofilimab,IGHV3-7*01,IGKV7-3*01,0.8878,0.6869,engineered_458
Riliprubart,IGHV1-46*01,IGKV7-3*01,0.7551,0.6869,engineered_458
Rilogrotug,IGHV1-69*02,IGKV1-27*01,0.8367,0.8316,engineered_458
Risankizumab,IGHV1-69*02,IGKV1-27*01,0.7857,0.8,engineered_458
Rivabazumab,IGHV3-30*01,IGKV1-9*01,0.9286,0.8211,engineered_458
Roconkibart,IGHV1-2*02,IGKV2-30*02,0.8469,0.88,engineered_458
Rolinsatamab,IGHV1-46*01,IGKV1-12*01,0.7959,0.8105,engineered_458
Rolistobart,IGHV3-7*01,IGKV7-3*01,0.8673,0.6465,engineered_458
Romosozumab,IGHV1-2*02,IGKV1-33*01,0.8776,0.8947,engineered_458
Rontalizumab,IGHV3-74*01,IGKV7-3*01,0.7551,0.6162,engineered_458
Rosmantuzumab,IGHV1-46*01,IGKV7-3*01,0.8367,0.6566,engineered_458
Rosnilimab,IGHV7-4-1*02,IGKV3-20*02,0.8776,0.8889,engineered_458
Rosopatamab,IGHV1-69-2*01,IGKV1-13*02,0.7551,0.7789,engineered_458
Rovalpituzumab,IGHV1-18*01,IGKV3-15*01,0.8673,0.8737,engineered_458
Rovelizumab,IGHV1-3*01,IGKV7-3*01,0.8061,0.6465,engineered_458
Rozanolixizumab,IGHV3-48*03,IGKV2-29*02,0.8469,0.61,engineered_458
Rulonilimab,IGHV3-21*07,IGKV7-3*01,0.8265,0.7374,engineered_458
Ruplizumab,IGHV1-46*01,IGKV7-3*01,0.7653,0.7071,engineered_458
Ruxoprubart,IGHV1-46*01,IGKV1-9*01,0.7449,0.7895,engineered_458
Sabatolimab,IGHV1-46*01,IGKV7-3*01,0.8776,0.6465,engineered_458
Sabirnetug,IGHV3-48*01,IGKV2-28*01,0.9286,0.85,engineered_458
Sacituzumab,IGHV7-4-1*02,IGKV1-13*02,0.8571,0.8105,engineered_458
Samalizumab,IGHV1-69*01,IGKV1-16*01,0.7347,0.8105,engineered_458
Samrotamab,IGHV1-2*02,IGKV1-39*01,0.7755,0.8421,engineered_458
Sasanlimab,IGHV1-46*01,IGKV4-1*01,0.8571,0.8713,engineered_458
Satralizumab,IGHV4-4*02,IGKV1-33*01,0.7551,0.8211,engineered_458
Semorinemab,IGHV3-23*03,IGKV2-29*02,0.8776,0.85,engineered_458
Semzuvolimab,IGHV1-2*02,IGKV7-3*01,0.7347,0.7374,engineered_458
Seniprutug,IGHV7-4-1*02,IGKV1-16*01,0.8776,0.8421,engineered_458
Serclutamab,IGHV4-38-2*02,IGKV1-12*01,0.7755,0.7474,engineered_458
Serplulimab,IGHV3-11*01,IGKV1-39*01,0.9184,0.8316,engineered_458
Sibeprenlimab,IGHV1-46*01,IGKV7-3*01,0.8571,0.6566,engineered_458
Sigvotatug,IGHV1-46*01,IGKV1-33*01,0.7959,0.8316,engineered_458
Simtuzumab,IGHV1-2*02,IGKV2D-29*02,0.8061,0.86,engineered_458
Sirexatamab,IGHV3-7*01,IGKV3-11*01,0.9082,0.8421,engineered_458
Sofituzumab,IGHV4-28*01,IGKV1-NL1*01,0.6531,0.8632,engineered_458
Solanezumab,IGHV3-23*03,IGKV2-30*01,0.8673,0.9,engineered_458
Solnerstotug,IGHV3-48*01,IGKV1-33*01,0.949,0.9368,engineered_458
Solrikitug,IGHV1-2*02,IGKV3-11*01,0.8367,0.8105,engineered_458
Sonesitatug,IGHV4-38-2*02,IGKV4-1*01,0.898,0.9208,engineered_458
Sotevtamab,IGHV1-69-2*01,IGKV4-1*01,0.8469,0.901,engineered_458
Sotigalimab,IGHV3-30*01,IGKV1-27*01,0.7755,0.8526,engineered_458
Spartalizumab,IGHV1-69*02,IGKV4-1*01,0.7449,0.7525,engineered_458
Spesolimab,IGHV1-2*02,IGKV3-20*01,0.7959,0.7917,engineered_458
Stapokibart,IGHV3-23*03,IGKV1-33*01,0.9286,0.8737,engineered_458
Sutimlimab,IGHV3-23*03,IGKV3/OR2-268*01,0.898,0.7812,engineered_458
Suvemcitug,IGHV3-71*01,IGKV1-33*01,0.5556,0.3579,engineered_458
Suvizumab,IGHV1-46*01,IGKV4-1*01,0.7755,0.7723,engineered_458
Suvonstobart,IGHV4-38-2*02,IGKV4-1*01,0.7245,0.802,engineered_458
Tacatuzumab,IGHV1-69*01,IGKV1-33*01,0.7653,0.8,engineered_458
Tadocizumab,IGHV1-69*01,IGKV1-39*01,0.7959,0.8211,engineered_458
Tafasitamab,IGHV1-3*01,IGKV2-28*01,0.7347,0.69,engineered_458
Tagitanlimab,IGHV4-4*08,IGKV6-21*02,0.8144,0.8632,engineered_458
Talacotuzumab,IGHV5-10-1*04,IGKV4-1*01,0.8265,0.901,engineered_458
Talizumab,IGHV1-69*01,IGKV3-11*01,0.7755,0.7789,engineered_458
Tamrintamab,IGHV1-69*01,IGKV3D-20*01,0.8571,0.8646,engineered_458
Tanezumab,IGHV4-4*08,IGKV1-33*01,0.8247,0.8737,engineered_458
Tanruprubart,IGHV1-46*01,IGKV1-9*03,0.7857,0.8,engineered_458
Tarcocimab,IGHV3-23*04,IGKV1-16*01,0.7551,0.8737,engineered_458
Tavolimab,IGHV4-34*09,IGKV1-39*01,0.7835,0.8842,engineered_458
Tazlestobart,IGHV3-30*01,IGKV3-20*01,0.949,0.9792,engineered_458
Tecotabart,IGHV3-48*01,IGKV4-1*01,0.8878,0.901,engineered_458
Telazorlimab,IGHV2-70*10,IGKV1-13*01,0.93,0.617,engineered_458
Telisotuzumab,IGHV1-2*02,IGKV7-3*01,0.9286,0.6869,engineered_458
Temelimab,IGHV1-46*01,IGKV1-13*01,0.7959,0.7872,engineered_458
Temtokibart,IGHV3-NL1*01,IGKV1-13*01,0.898,0.1064,engineered_458
Teplizumab,IGHV3-30*01,IGKV1-13*01,0.7245,0.7553,engineered_458
Tifcemalimab,IGHV1-2*06,IGKV2-30*01,0.7551,0.87,engineered_458
Tigatuzumab,IGHV3-23*03,IGKV1-13*02,0.9082,0.8316,engineered_458
Tilavonemab,IGHV3-73*01,IGKV7-3*01,0.7,0.7071,engineered_458
Tildrakizumab,IGHV1-18*01,IGKV1-39*01,0.8163,0.8526,engineered_458
Tilogotamab,IGHV1-3*01,IGKV1-13*01,0.8469,0.8085,engineered_458
Tilvestamab,IGHV3-23*03,IGKV2D-18*01,0.7449,0.66,engineered_458
Timigutuzumab,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Tinurilimab,IGHV2-70*01,IGKV1-9*01,0.92,0.8526,engineered_458
Tislelizumab,IGHV4-4*08,IGKV3-15*01,0.8866,0.6737,engineered_458
Tixentamig,IGHV3-73*01,IGKV2-40*01,0.92,0.1485,engineered_458
Tizetatug,IGHV7-4-1*02,IGKV1-13*02,0.8878,0.8105,engineered_458
Tocilizumab,IGHV4-28*01,IGKV1-33*01,0.8265,0.8947,engineered_458
Tomaralimab,IGHV1-3*01,IGKV7-3*01,0.7347,0.6869,engineered_458
Toripalimab,IGHV1-3*01,IGKV2-30*02,0.8061,0.88,engineered_458
Trastuzumab,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Tregalizumab,IGHV3-15*06,IGKV7-3*01,0.77,0.697,engineered_458
Trosunilimab,IGHV1-69*11,IGKV1-33*01,0.7755,0.8,engineered_458
Tucotuzumab,IGHV7-4-1*03,IGKV1-13*01,0.7143,0.6064,engineered_458
Tulisokibart,IGHV1-46*01,IGKV1-13*01,0.8061,0.6489,engineered_458
Tuparstobart,IGHV1-46*01,IGKV3-20*02,0.7959,0.8667,engineered_458
Turenkibart,IGHV1-69-2*01,IGKV4-1*01,0.8469,0.901,engineered_458
Tusamitamab,IGHV3-23*01,IGKV1-39*01,0.7653,0.8211,engineered_458
Ucenprubart,IGHV3-71*01,IGKV6-21*01,0.404,0.8316,engineered_458
Ulenistamab,IGHV1-2*02,IGKV4-1*01,0.9082,0.901,engineered_458
Uliledlimab,IGHV4-38-2*01,IGKV1-13*01,0.8673,0.5957,engineered_458
Ulviprubart,IGHV1-8*01,IGKV4-1*01,0.8163,0.9406,engineered_458
Umikibart,IGHV3-23*04,IGKV1-NL1*01,0.898,0.8947,engineered_458
Unasnemab,IGHV3-49*04,IGKV1-12*01,0.85,0.8737,engineered_458
Upanovimab,IGHV3-21*01,IGKV7-3*01,0.8571,0.6667,engineered_458
Upinitatug,IGHV1-46*01,IGKV1/OR-4*01,0.8163,0.8421,engineered_458
Uprevstobart,IGHV5-51*01,IGKV3-15*01,0.8673,0.7263,engineered_458
Urtoxazumab,IGHV3-7*01,IGKV3-11*01,0.9082,0.8316,engineered_458
Usilnetug,IGHV2-5*08,IGKV1-12*01,0.75,0.8842,engineered_458
Vamikibart,IGHV1-69*01,IGKV7-3*01,0.8673,0.7172,engineered_458
Vandortuzumab,IGHV4-38-2*01,IGKV4-1*01,0.6837,0.8119,engineered_458
Vatelizumab,IGHV4-4*08,IGKV1-13*01,0.7938,0.617,engineered_458
Vecantoxatug,IGHV1-69*02,IGKV1-16*01,0.8061,0.8632,engineered_458
Vedolizumab,IGHV1-3*01,IGKV2-28*01,0.8469,0.85,engineered_458
Veltuzumab,IGHV1-46*01,IGKV1-13*01,0.7959,0.7447,engineered_458
Venanprubart,IGHV1/OR15-2*02,IGKV3-11*01,0.6495,0.8316,engineered_458
Vibostolimab,IGHV1-69*02,IGKV1-27*01,0.8469,0.8526,engineered_458
Vilastobart,IGHV1-69*02,IGKV1-13*01,0.8469,0.5745,engineered_458
Visilizumab,IGHV1-46*04,IGKV1-13*01,0.8265,0.8085,engineered_458
Visugromab,IGHV2-5*11,IGKV1-9*01,0.9293,0.7684,engineered_458
Vobramitamab,IGHV3-21*07,IGKV1-39*01,0.898,0.8632,engineered_458
Vonlerolizumab,IGHV1-46*01,IGKV1-39*01,0.7959,0.8947,engineered_458
Vopratelimab,IGHV3-74*01,IGKV7-3*01,0.8878,0.6465,engineered_458
Vorsetuzumab,IGHV1-2*02,IGKV7-3*01,0.8673,0.7071,engineered_458
Vunakizumab,IGHV1-2*02,IGKV1-13*01,0.8265,0.6064,engineered_458
Xentuzumab,IGHV3-23*03,IGKV3D-20*01,0.8878,0.4688,engineered_458
Zadoprubart,IGHV1-69*02,IGKV1-13*02,0.8061,0.8421,engineered_458
Zagotenemab,IGHV5-51*01,IGKV2-30*02,0.8469,0.68,engineered_458
Zaltenibart,IGHV1-46*01,IGKV4-1*01,0.7959,0.9109,engineered_458
Zamerovimab,IGHV1-3*01,IGKV1-16*01,0.8061,0.8632,engineered_458
Zampilimab,IGHV3-23*03,IGKV1-16*01,0.898,0.7895,engineered_458
Zamubafusp,IGHV4-59*03,IGKV2-30*02,0.8333,0.9,engineered_458
Zansecimab,IGHV1-18*01,IGKV1-12*01,0.8673,0.8316,engineered_458
Zeleciment,IGHV4-38-2*02,IGKV1-39*01,0.8265,0.8526,engineered_458
Zelminemab,IGHV1-46*01,IGKV1-9*01,0.8061,0.8421,engineered_458
Zigakibart,IGHV1-3*01,IGKV1-5*01,0.8367,0.8316,engineered_458
Zilovertamab,IGHV4-28*02,IGKV3-15*01,0.5306,0.6632,engineered_458
Ziltivekimab,IGHV3-23*04,IGKV1-5*03,0.8469,0.9158,engineered_458
Abelacimab,IGHV3-23*01,IGKV3-20*02,0.9388,0.4444,natural_384
Abrilumab,IGHV1-24*01,IGKV1-12*01,0.949,0.9579,natural_384
Acrixolimab,IGHV3-30*01,IGKV2-40*01,0.9388,0.9406,natural_384
Actoxumab,IGHV3-33*01,IGKV1-12*01,0.9388,0.9895,natural_384
Adakitug,IGHV3-33*01,IGKV3-20*02,0.9388,0.9556,natural_384
Adalimumab,IGHV3-9*01,IGKV1-27*01,0.9293,0.9579,natural_384
Adecatumumab,IGHV3-30*18,IGKV1-39*01,0.9796,0.8632,natural_384
Adezkibart,IGHV1-69*01,IGKV3D-20*02,0.8878,0.25,natural_384
Adintrevimab,IGHV3-21*07,IGKV2/OR22-4*01,0.898,0.17,natural_384
Aducanumab,IGHV3-33*01,IGKV1-39*01,0.9388,1.0,natural_384
Afasevikumab,IGHV3-9*01,IGKV3-11*01,0.9596,0.9895,natural_384
Afimkibart,IGHV1-18*01,IGKV3-11*01,0.9286,1.0,natural_384
Alcestobart,IGHV3-20*04,IGKV1-39*01,0.9082,0.9579,natural_384
Aldastotug,IGHV5-10-1*01,IGKV3-20*01,0.9592,0.9479,natural_384
Alextatug,IGHV3-15*02,IGKV3D-20*01,0.95,0.4583,natural_384
Alirocumab,IGHV3-23*04,IGKV4-1*01,0.898,0.9406,natural_384
Alomfilimab,IGHV3-20*04,IGKV3-20*01,0.949,0.9271,natural_384
Alsevalimab,IGHV4-39*01,IGKV3-15*01,0.9596,0.9684,natural_384
Amlenetug,IGHV3-23*05,IGKV3-20*01,0.9184,1.0,natural_384
Amlitelimab,IGHV3-23*04,IGKV1-39*01,0.898,0.9474,natural_384
Amrecibart,IGHV3-23*03,IGKV1-39*01,0.9184,1.0,natural_384
Amubarvimab,IGHV3-66*01,IGKV3-20*01,0.9588,1.0,natural_384
Anetumab,IGHV5-51*01,IGKV2/OR22-4*01,0.949,0.15,natural_384
Anifrolumab,IGHV5-51*01,IGKV3-20*01,0.9388,0.9375,natural_384
Ansipastobart,IGHV3-23*01,IGKV3D-20*01,0.9388,0.4271,natural_384
Ansuvimab,IGHV3-13*01,IGKV1-27*01,0.7835,0.8737,natural_384
Anumigilimab,IGHV3-23*01,IGKV1-39*01,0.9286,0.9579,natural_384
Anzurstobart,IGHV1-18*01,IGKV1-12*01,0.9592,0.9684,natural_384
Apitegromab,IGHV3-30*03,IGKV3D-20*01,1.0,0.4479,natural_384
Aprutumab,IGHV3-23*01,IGKV3D-20*01,0.9796,0.4479,natural_384
Ascrinvacumab,IGHV4-31*02,IGKV3-20*01,0.9798,0.9896,natural_384
Astegolimab,IGHV5-51*01,IGKV1-33*01,0.9592,0.9789,natural_384
Atenastobart,IGHV3-21*01,IGKV6-21*01,0.9082,0.1368,natural_384
Atidortoxumab,IGHV4-38-2*01,IGKV1-12*01,0.9286,0.9579,natural_384
Atigotatug,IGHV3-48*02,IGKV1D-16*01,0.898,1.0,natural_384
Atinumab,IGHV3-7*01,IGKV3-11*01,0.9286,1.0,natural_384
Atisnolerbart,IGHV1-8*01,IGKV3-20*01,0.8673,1.0,natural_384
Atoltivimab,IGHV3-33*01,IGKV1-39*01,0.949,0.9474,natural_384
Avdoralimab,IGHV3-13*01,IGKV3-20*01,0.9381,0.9688,natural_384
Avelumab,IGHV3-23*01,IGKV6-21*01,0.9082,0.1263,natural_384
Balonkibart,IGHV3-23*04,IGKV1-6*01,0.8776,0.9368,natural_384
Balstilimab,IGHV3-33*01,IGKV3-15*01,0.9898,1.0,natural_384
Bamlanivimab,IGHV1-69*04,IGKV1-39*01,0.9898,0.9789,natural_384
Bapotulimab,IGHV1-69*10,IGKV2-28*01,1.0,0.99,natural_384
Barecetamab,IGHV3-23*01,IGKV3D-20*01,0.9082,0.4583,natural_384
Batoclimab,IGHV4-39*02,IGKV1-13*01,0.9192,0.4362,natural_384
Bebtelovimab,IGHV2-5*02,IGKV2-40*01,0.94,0.1287,natural_384
Befovacimab,IGHV3-23*04,IGKV1-13*01,0.9388,0.3936,natural_384
Belimumab,IGHV1-69*01,IGKV1-13*01,0.8673,0.4043,natural_384
Belrestotug,IGHV1-46*01,IGKV3-20*01,0.9592,0.9688,natural_384
Beludavimab,IGHV1-18*01,IGKV3-20*02,0.9286,0.9444,natural_384
Bempikibart,IGHV3-9*01,IGKV1-13*02,0.9596,1.0,natural_384
Bentracimab,IGHV1-69*06,IGKV3D-20*01,0.8571,0.4271,natural_384
Berlimatoxumab,IGHV4-39*01,IGKV1-39*01,0.9495,0.9474,natural_384
Bermekimab,IGHV3-30*03,IGKV1-12*01,0.8878,0.9158,natural_384
Bersanlimab,IGHV3-30*02,IGKV2/OR22-4*01,0.9082,0.17,natural_384
Bezetabart,IGHV3-33*01,IGKV1-12*01,0.9592,0.9263,natural_384
Bezlotoxumab,IGHV5-51*01,IGKV3-20*01,0.949,0.9896,natural_384
Bimagrumab,IGHV1-2*02,IGKV1-37*01,0.9184,0.1263,natural_384
Birinkibart,IGHV1-24*01,IGKV3-11*01,0.949,0.9263,natural_384
Bleselumab,IGHV4-39*03,IGKV1-13*02,0.9375,0.9895,natural_384
Botensilimab,IGHV3-21*01,IGKV3-11*01,0.9898,0.8737,natural_384
Brazikumab,IGHV3-33*01,IGKV2/OR22-4*01,0.9898,0.17,natural_384
Bremzalerbart,IGHV4-59*03,IGKV3-11*01,0.8854,0.9053,natural_384
Briakinumab,IGHV3-30*02,IGKV3D-20*01,0.9694,0.4375,natural_384
Brodalumab,IGHV1-18*01,IGKV3-15*01,0.9694,0.9368,natural_384
Burosumab,IGHV1-46*01,IGKV1-13*02,0.949,0.9684,natural_384
Calpurbatug,IGHV4-30-2*07,IGKV3-20*01,0.596,0.7812,natural_384
Calotatug,IGHV3-48*01,IGKV3-20*01,1.0,0.9792,natural_384
Camidanlumab,IGHV1-69*02,IGKV3-11*01,0.949,0.9053,natural_384
Camoteskimab,IGHV4-30-2*07,IGKV1-5*03,0.9192,0.9158,natural_384
Canakinumab,IGHV3-33*01,IGKV6-21*01,0.9388,0.9895,natural_384
Canrivitug,IGHV4-59*11,IGKV2/OR22-4*01,0.9794,0.18,natural_384
Carlumab,IGHV1-69*01,IGKV3-20*02,0.9898,0.9333,natural_384
Casdozokitug,IGHV3-21*01,IGKV4-1*01,0.9592,0.9604,natural_384
Cemiplimab,IGHV3-23*01,IGKV1-39*01,0.8673,0.8632,natural_384
Cenvacibart,IGHV3-11*01,IGKV1-33*01,0.898,0.9579,natural_384
Cepeprubart,IGHV3-30*03,IGKV2-18*01,0.9082,0.86,natural_384
Cetrelimab,IGHV1-69*01,IGKV3-11*01,0.9898,0.9684,natural_384
Cifurtilimab,IGHV3-74*01,IGKV2-30*02,0.7653,0.64,natural_384
Cilgavimab,IGHV3-15*01,IGKV4-1*01,0.96,0.9505,natural_384
Cinpanemab,IGHV3-15*01,IGKV1-13*01,0.84,0.4255,natural_384
Cixutumumab,IGHV1-69*06,IGKV1-13*01,0.9898,0.4043,natural_384
Claseprubart,IGHV3-11*01,IGKV1-33*01,0.9694,0.9579,natural_384
Clesrovimab,IGHV3-49*04,IGKV1-13*02,0.89,0.8526,natural_384
Cliramitug,IGHV4-39*01,IGKV1-39*01,0.8788,0.9263,natural_384
Conatumumab,IGHV4-30-2*07,IGKV3-20*01,0.9192,0.9479,natural_384
Cosibelimab,IGHV1-69*01,IGKV3D-20*02,0.9388,0.2917,natural_384
Crebankitug,IGHV3-43D*03,IGKV3D-20*02,0.8687,0.2917,natural_384
Crexavibart,IGHV3-53*01,IGKV6-21*01,0.9794,0.1263,natural_384
Crotedumab,IGHV3-7*01,IGKV1-17*01,0.9286,0.9579,natural_384
Crovalimab,IGHV2-70*01,IGKV1-12*01,0.5,0.8737,natural_384
Cudarolimab,IGHV3-30*03,IGKV1-33*01,1.0,0.9684,natural_384
Dalnicastobart,IGHV1-2*02,IGKV1-12*01,0.9796,0.9474,natural_384
Danburstotug,IGHV1-69*01,IGKV1-13*01,0.9694,0.4149,natural_384
Daratumumab,IGHV3-23*01,IGKV3-11*01,0.949,1.0,natural_384
Dargistotug,IGHV7-4-1*02,IGKV1-9*01,0.9898,0.9895,natural_384
Daxdilimab,IGHV1-18*01,IGKV6-21*01,0.9796,0.1263,natural_384
Dectrekumab,IGHV3-33*01,IGKV3-11*01,0.9796,0.9579,natural_384
Demupitamab,IGHV4-61*01,IGKV1-33*01,0.899,0.9474,natural_384
Denosumab,IGHV3-23*01,IGKV3-20*01,0.9796,0.9583,natural_384
Denrakibart,IGHV5-51*01,IGKV4-1*01,0.9796,0.9208,natural_384
Dibotatug,IGHV3-21*01,IGKV1D-16*01,0.9592,0.9263,natural_384
Diridavumab,IGHV1-69*01,IGKV3D-20*01,0.8469,0.4583,natural_384
Drozitumab,IGHV3-20*04,IGKV1/OR2-11*01,0.9286,0.1489,natural_384
Dupilumab,IGHV3-23*04,IGKV2-28*01,0.9286,0.96,natural_384
Durvalumab,IGHV3-7*01,IGKV3-20*01,0.9898,0.9688,natural_384
Dusigitumab,IGHV1-8*01,IGKV3D-20*01,1.0,0.4479,natural_384
Duvakitug,IGHV1-8*01,IGKV2/OR22-4*01,0.9286,0.15,natural_384
Eblasakimab,IGHV5-51*01,IGKV3-20*02,0.9796,0.9667,natural_384
Ebrasodebart,IGHV1-18*01,IGKV1-13*01,0.9898,0.3936,natural_384
Ebronucimab,IGHV3-21*01,IGKV2/OR22-4*01,0.9184,0.14,natural_384
Ecleralimab,IGHV3-15*01,IGKV1-13*01,0.93,0.4149,natural_384
Efalizumab,IGHV3-23*04,IGKV1-9*03,0.7653,0.9053,natural_384
Efungumab,IGHV5-10-1*01,IGKV1-9*01,0.898,0.8842,natural_384
Eldelumab,IGHV3-33*01,IGKV3-20*01,0.898,1.0,natural_384
Elgemtumab,IGHV3-23*05,IGKV1-12*01,0.9592,0.9474,natural_384
Elipovimab,IGHV4-4*08,IGKV2-4*01,0.7835,0.12,natural_384
Eltivutabart,IGHV1-46*01,IGKV3-20*02,0.949,0.9444,natural_384
Emapalumab,IGHV3-23*01,IGKV3D-20*02,1.0,0.2812,natural_384
Emiltatug,IGHV3-53*01,IGKV3-20*01,0.9175,1.0,natural_384
Enapotamab,IGHV3-23*01,IGKV3-20*01,0.9592,1.0,natural_384
Enfortumab,IGHV3-48*02,IGKV1-12*01,0.9796,0.9684,natural_384
Enlonstobart,IGHV3-33*01,IGKV3-11*01,0.9184,0.9789,natural_384
Enokizumab,IGHV1-69*01,IGKV1-39*01,0.8776,0.8316,natural_384
Enoticumab,IGHV3-33*01,IGKV3-11*01,0.9082,0.9895,natural_384
Enuzovimab,IGHV3-53*01,IGKV1-12*01,0.9588,0.9895,natural_384
Erenumab,IGHV3-30*03,IGKV3D-20*01,0.9388,0.4583,natural_384
Ersodetug,IGHV3-30*01,IGKV2-30*01,0.9694,0.93,natural_384
Erzotabart,IGHV1-69*04,IGKV1D-16*01,0.9286,0.9895,natural_384
Etesevimab,IGHV3-66*01,IGKV1-39*01,0.9691,0.9789,natural_384
Evalstotug,IGHV3-30*01,IGKV3-20*02,0.9184,0.7778,natural_384
Evinacumab,IGHV3-43*02,IGKV1-5*03,0.9293,0.9895,natural_384
Evolocumab,IGHV1-18*01,IGKV3-11*01,0.9388,0.1263,natural_384
Evunzekibart,IGHV3-23*03,IGKV1-39*01,0.8878,0.9263,natural_384
Exbivirumab,IGHV3-33*01,IGKV1-13*01,0.8776,0.4149,natural_384
Exerenibart,IGHV3-23*04,IGKV1-12*01,0.9592,0.9263,natural_384
Fasinumab,IGHV1-24*01,IGKV1-17*01,0.9592,0.9053,natural_384
Felmetatug,IGHV4-39*01,IGKV3-15*01,0.9596,0.9684,natural_384
Fezakinumab,IGHV1-2*02,IGKV2/OR22-4*01,0.9184,0.16,natural_384
Fianlimab,IGHV3-33*01,IGKV3-11*01,0.9592,0.9368,natural_384
Figitumumab,IGHV3-23*01,IGKV1-17*01,0.9388,0.9579,natural_384
Firivumab,IGHV1-69*01,IGKV3-15*01,0.8673,0.8316,natural_384
Firsekibart,IGHV3-49*05,IGKV1-13*01,0.94,0.4149,natural_384
Fiztasovimab,IGHV4-34*01,IGKV3D-20*01,0.9381,0.4271,natural_384
Flanvotumab,IGHV7-4-1*03,IGKV3-11*01,0.956,0.9895,natural_384
Fletikumab,IGHV1-3*01,IGKV1-13*02,0.8878,1.0,natural_384
Foralumab,IGHV3-33*01,IGKV3-11*01,0.9592,1.0,natural_384
Foravirumab,IGHV3-30*18,IGKV1-17*01,0.9592,0.9579,natural_384
Freneslerbart,IGHV3-21*01,IGKV1-27*01,0.9286,0.9579,natural_384
Fresolimumab,IGHV1-69*01,IGKV3-20*01,0.8878,0.9375,natural_384
Fulranumab,IGHV3-48*02,IGKV1-13*02,0.9286,1.0,natural_384
Gancotamab,IGHV3-23*04,IGKV2/OR22-4*01,0.949,0.16,natural_384
Ganitumab,IGHV4-4*02,IGKV2-28*01,1.0,0.95,natural_384
Gantenerumab,IGHV3-23*04,IGKV3-20*02,0.9286,0.9444,natural_384
Garadacimab,IGHV3-23*01,IGKV3D-20*01,0.8776,0.4479,natural_384
Garetosmab,IGHV4-59*11,IGKV3-20*01,0.8969,1.0,natural_384
Gedivumab,IGHV3-30*01,IGKV3-15*01,0.8878,0.8947,natural_384
Gimsilumab,IGHV3-74*03,IGKV3-15*01,0.8469,0.8947,natural_384
Ginisortamab,IGHV1-69-2*01,IGKV4-1*01,0.9796,0.9703,natural_384
Glembatumumab,IGHV4-31*02,IGKV3-15*01,0.9495,0.9684,natural_384
Golimumab,IGHV3-30*01,IGKV3-11*01,0.949,0.9895,natural_384
Golocdacimab,IGHV1-24*01,IGKV2/OR22-4*01,0.9286,0.17,natural_384
Gorivitug,IGHV3-64D*06,IGKV1-39*01,0.949,0.9684,natural_384
Gotistobart,IGHV4-59*03,IGKV1-NL1*01,0.875,0.8421,natural_384
Greziprubart,IGHV3-72*01,IGKV2-28*01,0.87,0.89,natural_384
Guselkumab,IGHV5-51*01,IGKV2/OR22-4*01,0.9388,0.18,natural_384
Ianalumab,IGHV6-1*01,IGKV3-20*02,0.9604,0.9222,natural_384
Ibramvibart,IGHV3-21*07,IGKV2/OR22-4*01,0.8878,0.16,natural_384
Icrucumab,IGHV3-33*01,IGKV3-20*01,0.9388,1.0,natural_384
Idactamab,IGHV4-34*01,IGKV1-5*03,0.9691,0.9474,natural_384
Iluzanebart,IGHV5-51*01,IGKV3-15*01,0.9694,0.9474,natural_384
Imalumab,IGHV3-23*01,IGKV1-39*01,0.9184,0.8526,natural_384
Imeroprubart,IGHV3-23*01,IGKV1-13*01,0.9388,0.4255,natural_384
Inclacumab,IGHV3-13*01,IGKV3-11*01,0.9485,1.0,natural_384
Indematug,IGHV3-21*01,IGKV3D-20*02,0.7245,0.3125,natural_384
Indenebart,IGHV3-23*01,IGKV2/OR22-4*01,0.9592,0.17,natural_384
Indusatumab,IGHV4-34*01,IGKV3-15*01,0.9485,0.9579,natural_384
Intetumumab,IGHV3-30*01,IGKV3-11*01,0.9184,1.0,natural_384
Ipilimumab,IGHV3-30*01,IGKV3-20*01,0.949,0.9792,natural_384
Iratumumab,IGHV4-34*03,IGKV1D-16*01,0.9468,0.9684,natural_384
Iscalimab,IGHV3-30*03,IGKV2-28*01,0.9388,0.95,natural_384
Itepekimab,IGHV3-23*04,IGKV1-12*01,0.8878,0.9684,natural_384
Ivuxolimab,IGHV3-48*02,IGKV1D-16*01,0.9898,1.0,natural_384
