antibody_id,discovery_platform,ADI_natural384,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Eblasakimab,transgenic_animal,69.4,8.61,-0.305,35.5,2.89,3.0,1.08,0.556,0.714,4.0,4.0,0.0,0.0,1.0,11.0,4.0,42.0,272.02,1.1,1.0,4.0,78.271861,52.0,4.749573,2.760523,591.679002
Ebrasodebart,human_b_cell_derived,71.03,8.84,-0.417,41.9,3.81,3.0,4.083,0.667,0.714,4.0,3.0,0.0,2.0,1.0,14.0,4.0,47.0,405.87,2.0,2.0,3.0,87.825846,79.0,4.575193,1.269367,581.369027
Ebronucimab,transgenic_animal,54.9,5.0,-0.297,48.9,-5.01,4.0,0.898,0.556,0.714,1.0,1.0,0.0,3.0,2.0,8.0,4.0,55.0,269.68,1.0,4.0,1.9,86.09313,69.0,4.627914,1.642699,534.589491
Ecleralimab,phage_display,71.54,5.62,-0.306,34.6,-2.93,3.0,3.46,0.667,0.714,3.0,2.0,0.0,2.0,2.0,8.0,4.0,48.0,633.91,3.0,2.0,-9.0,85.545503,66.0,4.552492,1.608031,639.908612
Efalizumab,phage_display,63.17,8.79,-0.386,33.8,4.06,3.0,1.833,0.556,0.714,2.0,2.0,0.0,1.0,1.0,9.0,4.0,48.0,126.1,1.2,2.0,8.61,84.733835,74.0,4.629196,2.08093,552.850018
Efungumab,unlabeled,69.98,7.82,-0.205,34.8,0.97,3.0,2.928,0.667,0.714,4.0,4.0,1.0,3.0,2.0,10.0,5.0,47.0,759.16,1.0,2.0,-2.7,82.123805,72.0,4.655684,0.881887,592.004686
Eldelumab,transgenic_animal,56.78,7.79,-0.272,40.6,0.82,3.0,0.985,0.889,1.0,9.0,5.0,0.0,3.0,3.0,10.0,4.0,53.0,360.39,1.0,3.0,4.0,83.77418,65.0,4.684159,2.378342,539.295162
Elgemtumab,transgenic_animal,72.66,8.35,-0.281,45.0,1.8,3.0,1.917,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,44.0,462.14,1.0,2.0,3.0,87.388986,73.0,4.621201,1.542839,553.832033
Elipovimab,transgenic_animal,68.02,7.83,-0.36,36.2,1.17,4.0,5.375,0.667,0.714,4.0,3.0,0.0,0.0,4.0,10.0,4.0,68.0,911.57,4.1,1.0,-9.28,57.816967975387584,74.0,4.737405226883276,2.3225739002227783,903.3366971328533
Eltivutabart,transgenic_animal,54.54,9.33,-0.447,38.3,8.0,3.0,5.837,0.556,0.571,4.0,4.0,0.0,0.0,0.0,9.0,4.0,48.0,263.8,7.1,2.0,13.2,80.72539,71.0,4.639777,1.382515,599.93515
Emapalumab,human_b_cell_derived,49.26,5.69,-0.406,51.2,-2.02,4.0,2.071,0.556,0.714,2.0,2.0,0.0,3.0,4.0,11.0,4.0,53.0,533.56,2.0,2.0,-3.19,85.138725,73.0,4.610526,1.454136,510.548877
Emiltatug,transgenic_animal,72.0,7.86,-0.284,37.8,0.81,3.0,0.997,0.556,0.714,5.0,5.0,0.0,2.0,2.0,6.0,4.0,45.0,540.14,1.0,2.0,2.0,85.90536,70.0,4.735477,2.62483,625.381593
Enapotamab,unlabeled,70.51,8.35,-0.219,39.1,1.81,3.0,0.002,0.778,0.857,7.0,5.0,0.0,2.0,1.0,8.0,4.0,44.0,579.0,1.0,1.0,4.0,86.634751,65.0,4.688215,2.222318,520.975016
Enfortumab,unlabeled,75.79,8.35,-0.244,46.7,1.8,3.0,1.922,0.667,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,44.0,299.76,1.0,1.0,3.0,87.312073,67.0,4.721579,2.474141,491.252502
Enlonstobart,transgenic_animal,60.73,9.18,-0.328,40.9,5.82,3.0,2.009,0.778,0.857,9.0,6.0,0.0,2.0,2.0,8.0,4.0,40.0,175.41,2.0,1.0,15.0,87.203294,54.0,4.672454,1.852021,528.522674
Enokizumab,transgenic_animal,56.86,6.17,-0.367,36.1,-1.09,3.0,3.161,0.556,0.571,1.0,1.0,0.0,0.0,0.0,8.0,4.0,49.0,387.09,2.0,2.0,0.0,81.109422,79.0,4.54539,0.665539,543.479015
Enoticumab,transgenic_animal,74.34,7.82,-0.375,45.4,1.0,3.0,0.984,0.667,0.714,5.0,5.0,0.0,2.0,1.0,10.0,4.0,50.0,202.51,1.1,4.0,8.0,83.536045,68.0,4.605121,0.918683,508.565416
Enuzovimab,phage_display,70.95,6.56,-0.169,47.8,-0.19,3.0,1.919,0.667,0.714,4.0,3.0,0.0,3.0,1.0,8.0,4.0,45.0,339.61,1.0,2.0,3.0,87.384341,74.0,4.776232,2.913404,543.441402
Erenumab,transgenic_animal,59.59,9.1,-0.264,43.7,5.89,3.0,2.176,0.778,0.857,9.0,5.0,0.0,2.0,4.0,8.0,4.0,60.0,774.59,2.0,1.0,15.3,83.734961,68.0,4.724443,2.763462,560.552499
Ersodetug,transgenic_animal,66.95,7.87,-0.379,42.1,1.07,3.0,1.161,0.556,0.714,2.0,2.0,0.0,2.0,3.0,11.0,4.0,50.0,384.96,1.1,4.0,0.21,79.170291,77.0,4.708793,1.985374,551.922905
Erzotabart,phage_display,77.52,8.62,-0.271,44.1,2.73,3.0,0.99,0.667,0.714,3.0,2.0,0.0,1.0,0.0,9.0,4.0,48.0,1216.76,2.0,5.0,-3.0,84.508708,62.0,4.640849,1.593295,521.970311
Etesevimab,human_b_cell_derived,73.59,7.85,-0.184,49.9,0.8,3.0,2.92,0.667,0.714,3.0,3.0,0.0,2.0,1.0,9.0,4.0,48.0,263.29,1.0,2.0,0.0,85.80102,82.0,4.702703,2.765253,507.555642
Evalstotug,transgenic_animal,69.91,8.35,-0.231,48.4,1.98,2.0,0.215,0.556,0.714,3.0,3.0,0.0,2.0,3.0,8.0,4.0,46.0,212.06,1.0,1.0,6.3,84.004373,67.0,4.64309,2.271413,472.564531
Evinacumab,transgenic_animal,70.17,6.57,-0.254,39.6,-0.19,3.0,5.914,0.667,0.714,5.0,4.0,0.0,4.0,2.0,9.0,4.0,53.0,1191.6,2.0,4.0,-3.0,81.800475,68.0,4.724941,1.531601,526.109843
Evolocumab,transgenic_animal,63.9,7.85,-0.368,32.9,0.89,4.0,2.911,0.667,0.714,2.0,2.0,0.0,3.0,0.0,11.0,4.0,45.0,302.73,1.0,1.0,0.1,88.198124,61.0,4.641004,1.785149,613.584033
Evunzekibart,transgenic_animal,70.61,8.62,-0.266,44.0,2.88,3.0,0.834,0.556,0.571,1.0,1.0,0.0,2.0,1.0,8.0,4.0,46.0,474.07,1.0,1.0,6.3,85.804139,77.0,4.635705,1.794977,507.947701
Exbivirumab,transgenic_animal,56.15,8.37,-0.196,43.0,2.08,4.0,4.305,0.778,0.857,8.0,6.0,0.0,3.0,4.0,9.0,4.0,50.0,870.88,2.1,2.0,0.51,86.39138,64.0,4.710367,2.278814,667.164169
Exerenibart,phage_display,71.69,5.37,-0.255,43.3,-2.11,3.0,1.834,0.667,0.714,5.0,4.0,0.0,3.0,2.0,9.0,4.0,51.0,469.6,1.1,2.0,-2.0,83.525941,81.0,4.603261,0.525351,467.224413
Fasinumab,phage_display,58.78,5.92,-0.371,41.9,-1.17,4.0,8.896,0.667,0.714,1.0,1.0,0.0,0.0,1.0,9.0,4.0,46.0,752.17,1.0,4.0,-30.0,82.890646,76.0,4.642339,1.478511,601.917485
Felmetatug,phage_display,67.32,8.84,-0.278,44.7,3.82,2.0,0.168,0.556,0.571,4.0,4.0,0.0,0.0,0.0,6.0,4.0,47.0,172.45,1.0,1.0,9.3,83.822394,66.0,4.702546,1.887284,570.197809
Fezakinumab,transgenic_animal,64.35,6.91,-0.366,40.0,-0.1,4.0,4.006,0.556,0.714,3.0,3.0,0.0,1.0,3.0,8.0,4.0,53.0,479.03,1.1,6.0,-1.8,89.462129,74.0,4.529688,1.424341,588.969106
Fianlimab,transgenic_animal,66.25,8.84,-0.29,43.8,3.82,3.0,3.991,0.778,0.857,8.0,5.0,0.0,2.0,2.0,9.0,4.0,50.0,363.76,2.0,2.0,5.0,85.0338,67.0,4.671351,2.069253,502.271262
Figitumumab,transgenic_animal,54.32,8.76,-0.339,45.5,3.97,3.0,6.088,0.556,0.714,0.0,0.0,0.0,3.0,2.0,9.0,5.0,52.0,418.55,1.1,2.0,5.2,82.100641,70.0,4.588742,1.781488,510.167018
Firivumab,transgenic_animal,64.19,8.37,-0.25,48.5,1.91,2.0,3.906,0.556,0.714,5.0,5.0,0.0,1.0,1.0,11.0,4.0,50.0,573.99,1.1,2.0,-2.4,78.549457,77.0,4.592108,1.51536,504.026323
Firsekibart,transgenic_animal,68.89,5.29,-0.36,39.1,-2.22,3.0,2.373,0.667,0.714,3.0,2.0,0.0,2.0,2.0,9.0,7.0,55.0,647.54,3.0,4.0,-2.0,86.203703,80.0,4.631097,1.84924,549.063575
Fiztasovimab,phage_display,72.07,8.32,-0.269,23.4,1.81,4.0,0.091,0.556,0.714,4.0,3.0,1.0,2.0,1.0,10.0,4.0,55.0,607.08,1.0,3.0,4.2,84.803256,75.0,4.591944,1.087674,550.00075
Flanvotumab,phage_display,65.5,8.61,-0.257,37.2,2.73,3.0,0.915,0.556,0.571,6.0,6.0,0.0,0.0,0.0,10.0,4.0,47.0,248.14,2.0,1.0,4.0,83.404528,73.0,4.585653,1.606107,540.912874
Fletikumab,phage_display,75.7,6.16,-0.33,41.3,-1.09,3.0,2.852,0.667,0.714,4.0,3.0,0.0,1.0,0.0,9.0,4.0,54.0,400.72,1.0,4.0,0.2,81.542936,83.0,4.570871,1.510684,542.598902
Foralumab,transgenic_animal,59.8,9.26,-0.29,44.3,6.9,3.0,5.091,0.778,0.857,8.0,5.0,0.0,2.0,2.0,10.0,4.0,46.0,314.59,2.1,1.0,12.0,86.93517,67.0,4.725182,2.267499,586.877337
Foravirumab,transgenic_animal,65.56,8.84,-0.242,46.6,3.9,3.0,0.176,0.778,0.857,7.0,3.0,0.0,3.0,2.0,7.0,4.0,46.0,612.16,1.1,2.0,9.3,84.696209,67.0,4.707617,1.619449,474.288125
Freneslerbart,phage_display,63.7,9.11,-0.235,45.2,5.8,2.0,2.077,0.667,0.714,2.0,2.0,0.0,3.0,1.0,6.0,4.0,46.0,618.37,2.0,1.0,8.0,82.430946,67.0,4.622142,0.496288,605.262346
Fresolimumab,phage_display,69.21,5.55,-0.171,39.3,-1.26,3.0,1.076,0.667,0.714,4.0,4.0,0.0,0.0,1.0,7.0,4.0,48.0,1383.62,1.0,2.0,-1.0,83.382469,68.0,4.686112,2.480759,509.39713
Fulranumab,transgenic_animal,79.07,7.87,-0.215,48.8,0.98,3.0,0.783,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,50.0,265.55,3.0,2.0,2.4,83.102974,73.0,4.656597,2.103851,539.224451
Gancotamab,unlabeled,68.4,8.64,-0.213,42.6,2.81,4.0,2.915,0.556,0.714,5.0,4.0,0.0,2.0,2.0,8.0,4.0,51.0,283.4,3.0,1.0,4.0,88.561629,66.0,4.629267,0.98155,645.588193
Ganitumab,phage_display,67.45,8.34,-0.29,34.0,1.99,3.0,3.909,0.556,0.571,2.0,2.0,0.0,1.0,0.0,11.0,4.0,51.0,357.94,1.1,1.0,11.22,76.676441,75.0,4.691496,2.376368,525.354942
Gantenerumab,transgenic_animal,71.48,9.13,-0.221,42.6,5.81,3.0,4.083,0.667,0.714,3.0,3.0,1.0,2.0,1.0,7.0,4.0,54.0,786.25,3.0,1.0,10.2,82.43669,71.0,4.608475,1.48508,511.949634
Garadacimab,phage_display,67.51,9.11,-0.244,42.1,5.88,4.0,0.162,0.556,0.714,3.0,3.0,0.0,2.0,1.0,7.0,4.0,59.0,887.32,2.1,1.0,15.3,82.355405,69.0,4.574189,1.050407,562.58074
Garetosmab,transgenic_animal,56.25,9.06,-0.132,36.2,4.82,3.0,3.007,0.556,0.571,5.0,5.0,0.0,0.0,0.0,8.0,4.0,54.0,1241.83,2.1,1.0,8.2,77.917847,71.0,4.68356,2.336581,580.40241
Gedivumab,phage_display,63.6,8.64,-0.169,42.8,3.07,2.0,3.087,0.556,0.714,5.0,5.0,0.0,2.0,2.0,7.0,4.0,54.0,718.23,1.1,1.0,4.1,82.638618,79.0,4.639107,1.538962,452.048255
Gimsilumab,transgenic_animal,58.28,8.74,-0.221,43.8,2.99,2.0,5.169,0.556,0.714,7.0,7.0,1.0,3.0,1.0,9.0,4.0,48.0,405.23,3.1,2.0,0.0,84.914653,68.0,4.65697,1.531661,486.574336
Ginisortamab,phage_display,49.4,4.78,-0.435,34.3,-8.08,4.0,5.816,0.556,0.714,5.0,5.0,0.0,1.0,2.0,9.0,4.0,56.0,204.31,1.1,4.0,-0.0,70.615408,60.0,4.788492,3.029526,490.160615
Glembatumumab,unlabeled,67.28,8.61,-0.302,31.3,2.9,2.2,1.086,0.556,0.571,4.0,4.0,0.0,0.0,0.0,9.0,4.0,47.0,168.35,1.0,1.0,6.4,83.770584,78.0,4.632103,1.594855,538.443759
Golimumab,transgenic_animal,66.02,8.82,-0.312,45.4,3.82,3.0,2.008,0.667,0.857,9.0,7.0,0.0,3.0,2.0,9.0,4.0,54.0,574.55,2.0,2.0,10.0,80.45367,93.0,4.562882,1.206929,537.902281
Golocdacimab,phage_display,67.43,5.8,-0.374,40.4,-2.92,4.0,0.816,0.667,0.571,5.0,4.0,0.0,1.0,1.0,12.0,4.0,61.0,578.98,2.0,6.0,-0.0,78.991105,68.0,4.727611,2.761949,617.539
Gorivitug,phage_display,66.99,8.6,-0.19,48.7,2.8,3.0,0.92,0.667,0.714,1.0,1.0,0.0,1.0,2.0,7.0,4.0,50.0,645.35,2.0,1.0,3.0,85.506913,66.0,4.707558,2.136671,509.043235
Gotistobart,transgenic_animal,71.97,6.99,-0.314,33.7,-0.02,3.0,0.083,0.667,0.714,2.0,2.0,0.0,0.0,2.0,7.0,4.0,52.0,285.66,1.0,2.0,4.2,82.2567,98.0,4.678832,1.172248,478.936406
Greziprubart,transgenic_animal,73.55,7.87,-0.233,45.7,0.9,3.0,2.985,0.556,0.571,4.0,4.0,0.0,2.0,1.0,8.0,4.0,51.0,279.74,3.0,3.0,6.0,76.16113,48.0,4.660112,2.607791,590.06029
Guselkumab,phage_display,72.92,8.59,-0.259,41.5,2.88,4.0,2.983,0.556,0.714,4.0,3.0,0.0,2.0,1.0,11.0,4.0,49.0,549.88,3.0,1.0,0.0,86.201964,71.0,4.662602,1.898735,584.694506
Ianalumab,transgenic_animal,66.83,9.02,-0.263,45.5,4.73,3.0,2.994,0.556,0.714,4.0,4.0,0.0,3.0,2.0,8.0,4.0,52.0,343.23,2.0,2.0,10.0,77.901589,86.0,4.661991,0.437913,500.478274
Ibramvibart,phage_display,58.69,4.77,-0.277,31.5,-6.1,4.0,0.005,0.556,0.571,2.0,2.0,0.0,2.0,4.0,7.0,4.0,57.0,283.76,1.0,5.0,-0.0,88.388469,89.0,4.595351,1.689578,555.088598
Icrucumab,transgenic_animal,64.56,7.82,-0.298,50.3,1.08,3.0,0.729,0.778,0.857,9.0,6.0,0.0,2.0,2.0,7.0,4.0,54.0,349.08,1.1,2.0,4.6,82.111027,63.0,4.699993,2.123063,486.537823
Idactamab,transgenic_animal,61.14,9.26,-0.351,31.2,7.98,3.0,3.737,0.667,0.714,3.0,2.0,0.0,0.0,0.0,9.0,4.0,48.0,260.46,1.0,1.0,21.5,82.550191,83.0,4.60105,0.87341,490.23083
Iluzanebart,phage_display,72.5,8.66,-0.213,42.0,2.81,3.0,0.996,0.667,0.714,5.0,4.0,0.0,0.0,0.0,10.0,4.0,48.0,502.17,3.0,2.0,4.0,80.744793,60.0,4.712685,2.501489,548.642568
Imalumab,human_b_cell_derived,68.9,8.66,-0.263,44.3,2.89,3.0,3.011,0.778,0.857,4.0,1.0,0.0,2.0,2.0,11.0,4.0,45.0,1004.16,1.0,1.0,4.1,86.11748,67.0,4.67418,2.437498,481.884731
Imeroprubart,transgenic_animal,64.12,5.92,-0.244,40.7,-1.93,4.0,4.111,0.556,0.714,4.0,3.0,0.0,3.0,3.0,8.0,4.0,50.0,507.3,2.1,3.0,-3.8,87.497788,73.0,4.577952,1.16453,532.780197
Inclacumab,transgenic_animal,81.23,8.65,-0.277,40.8,2.9,3.0,1.083,0.667,0.714,4.0,4.0,0.0,2.0,0.0,8.0,4.0,51.0,345.62,2.0,1.0,10.0,83.663444,75.0,4.576034,1.558089,488.78085
Indematug,transgenic_animal,56.36,6.66,-0.197,34.1,-0.67,4.0,1.252,0.556,0.714,6.0,5.0,0.0,3.0,4.0,8.0,4.0,54.0,672.16,2.0,4.0,-2.34,83.652188,61.0,4.727446,2.334563,486.223062
Indenebart,transgenic_animal,78.5,8.78,-0.309,44.7,4.14,4.0,0.077,0.667,0.714,4.0,3.0,0.0,2.0,1.0,10.0,4.0,56.0,225.22,5.1,2.0,9.6,87.465108,79.0,4.528586,0.83195,478.7467
Indusatumab,unlabeled,50.74,9.19,-0.368,25.2,5.91,2.0,1.902,0.556,0.571,6.0,6.0,0.0,0.0,0.0,8.0,4.0,46.0,182.53,2.1,2.0,12.3,83.2382,73.0,4.651167,1.605388,518.045181
Intetumumab,transgenic_animal,63.03,8.89,-0.283,50.3,3.82,3.0,2.015,0.778,0.857,7.0,5.0,0.0,1.0,2.0,7.0,4.0,47.0,363.88,1.0,2.0,10.0,86.985244,67.0,4.615884,0.810751,529.50319
Ipilimumab,transgenic_animal,73.19,8.85,-0.31,42.9,3.82,3.0,2.007,0.556,0.714,4.0,4.0,0.0,2.0,2.0,8.0,4.0,46.0,235.9,1.0,1.0,8.0,84.936194,63.0,4.654087,2.525327,486.281802
Iratumumab,transgenic_animal,63.25,8.32,-0.262,30.9,1.81,2.0,2.08,0.556,0.571,0.0,0.0,0.0,1.0,1.0,8.0,4.0,39.0,426.6,0.1,1.0,3.1,85.01187,49.0,4.748574,3.044436,596.183763
Iscalimab,transgenic_animal,77.12,7.81,-0.278,42.6,0.91,3.0,1.178,0.667,0.857,6.0,4.0,0.0,3.0,2.0,8.0,4.0,52.0,539.62,1.1,3.0,4.2,77.919933,66.0,4.688592,2.247549,431.956147
Itepekimab,transgenic_animal,78.99,8.66,-0.283,44.6,2.89,3.0,0.832,0.667,0.857,4.0,3.0,0.0,3.0,2.0,10.0,4.0,49.0,587.71,2.0,2.0,3.3,86.821457,76.0,4.732877,1.919126,479.860506
Ivuxolimab,transgenic_animal,59.42,5.5,-0.312,48.5,-1.19,3.0,2.918,0.556,0.714,2.0,1.0,0.0,3.0,1.0,9.0,4.0,45.0,162.34,1.0,2.0,-2.0,85.860799,72.0,4.553145,1.648641,503.052267
Izastobart,phage_display,67.74,8.85,-0.283,40.9,4.06,4.0,4.164,0.556,0.571,2.0,2.0,0.0,1.0,2.0,8.0,4.0,49.0,542.9,4.0,2.0,10.2,87.435827,71.0,4.702706,2.405369,588.086776
Lanadelumab,transgenic_animal,77.98,8.84,-0.252,40.6,3.89,3.0,0.17,0.667,0.714,6.0,3.0,0.0,2.0,1.0,11.0,4.0,48.0,1085.08,4.0,4.0,8.2,87.657753,69.0,4.592664,1.29466,489.285103
Lanerkitug,human_b_cell_derived,77.55,8.68,-0.293,41.4,3.15,4.0,0.747,0.667,0.714,4.0,4.0,0.0,3.0,2.0,9.0,4.0,54.0,278.68,2.3,1.0,6.9,88.434596,75.0,4.612868,0.889444,487.062249
Latozinemab,transgenic_animal,70.2,8.29,-0.285,40.6,1.81,3.0,4.073,0.556,0.571,2.0,2.0,0.0,0.0,0.0,8.0,4.0,54.0,325.21,1.0,1.0,4.1,76.320606,82.0,4.697861,1.520133,538.035514
Lemzoparlimab,transgenic_animal,62.58,8.83,-0.345,36.7,3.81,4.0,2.083,0.667,0.714,8.0,8.0,0.0,1.0,3.0,9.0,4.0,51.0,507.72,6.0,5.0,4.0,74.152033,50.0,4.726267,2.301615,499.7136
Lenzilumab,unlabeled,62.98,9.43,-0.411,41.4,8.82,3.0,5.002,0.667,0.714,4.0,4.0,1.0,1.0,0.0,7.0,4.0,46.0,267.0,3.0,1.0,15.0,84.764179,61.0,4.66477,1.381782,509.663782
Lerdelimumab,phage_display,62.74,7.88,-0.365,45.8,0.98,4.0,1.376,0.778,0.857,7.0,3.0,0.0,2.0,5.0,7.0,4.0,45.0,272.93,3.2,2.0,3.41,88.097805,55.0,4.618632,2.341404,526.660818
Lesabelimab,human_b_cell_derived,67.26,9.01,-0.245,43.4,4.88,3.0,1.011,0.667,0.714,1.0,1.0,0.0,2.0,0.0,6.0,4.0,47.0,334.01,1.0,1.0,8.0,84.532307,78.0,4.530567,0.767571,560.873402
Lesofavumab,transgenic_animal,64.18,5.45,-0.267,42.8,-2.11,3.0,1.839,0.556,0.714,2.0,2.0,0.0,2.0,0.0,12.0,4.0,55.0,326.99,1.1,2.0,-3.8,68.377281,84.0,4.490149,0.460917,502.83058
Letaplimab,phage_display,67.2,9.25,-0.187,38.3,6.72,3.0,0.996,0.667,0.714,4.0,3.0,0.0,0.0,0.0,7.0,4.0,42.0,325.56,2.0,1.0,20.0,84.416288,61.0,4.65679,2.024222,549.588822
Lexatumumab,phage_display,65.03,7.87,-0.348,36.9,0.89,4.0,3.287,0.556,0.714,4.0,3.0,0.0,4.0,3.0,8.0,4.0,50.0,608.06,2.1,2.0,0.0,87.269065,77.0,4.556932,0.655889,486.147566
Libevitug,transgenic_animal,65.51,8.85,-0.373,45.3,3.72,4.0,4.002,0.556,0.714,4.0,4.0,0.0,2.0,2.0,8.0,4.0,51.0,766.52,2.0,1.0,4.0,86.29423,57.0,4.620159,0.731276,556.630785
Libivirumab,human_b_cell_derived,71.99,8.61,-0.352,42.9,2.91,3.0,0.823,0.667,0.857,6.0,4.0,0.0,1.0,4.0,9.0,4.0,61.0,694.05,2.0,3.0,2.2,73.747283,91.0,4.662198,1.751026,495.051088
Linavonkibart,transgenic_animal,65.78,4.83,-0.281,39.6,-5.1,3.0,0.99,0.556,0.571,2.0,2.0,0.0,1.0,1.0,10.0,4.0,48.0,733.26,1.0,3.0,-0.0,84.905677,66.0,4.684655,1.575402,504.506576
Lirilumab,transgenic_animal,70.93,6.5,-0.232,47.3,-0.27,3.0,2.078,0.667,0.714,4.0,4.0,0.0,0.0,0.0,9.0,4.0,50.0,917.45,1.0,4.0,-4.0,78.871593,66.0,4.542162,0.965905,572.705232
Lodapolimab,transgenic_animal,74.37,8.3,-0.273,49.2,1.72,4.0,1.998,0.667,0.571,2.0,2.0,0.0,1.0,1.0,7.0,4.0,54.0,648.15,1.0,1.0,1.0,83.617408,73.0,4.637092,1.372841,628.362573
Lomtegovimab,phage_display,62.33,9.0,-0.33,48.5,5.0,3.0,0.921,0.778,0.857,5.0,4.0,0.0,1.0,3.0,8.0,4.0,47.0,206.88,3.0,3.0,12.4,85.784103,68.0,4.662737,1.616516,635.858981
Lotivibart,transgenic_animal,58.43,9.21,-0.286,28.4,6.51,3.0,3.565,0.778,0.857,6.0,4.0,1.0,0.0,2.0,8.0,4.0,45.0,921.97,2.1,4.0,15.25,82.519968,64.0,4.708814,2.858645,504.187428
Lucatumumab,phage_display,77.12,7.81,-0.278,42.6,0.91,3.0,1.178,0.667,0.857,6.0,4.0,0.0,3.0,2.0,8.0,4.0,52.0,539.62,1.1,3.0,4.2,77.919933,66.0,4.688592,2.247549,431.956147
Lunlekitug,transgenic_animal,67.1,5.19,-0.307,43.4,-3.18,3.0,2.906,0.667,0.714,8.0,6.0,0.0,1.0,1.0,8.0,4.0,51.0,797.87,1.0,3.0,-3.9,74.080436,62.0,4.665756,1.564747,573.979341
Lupartumab,unlabeled,69.11,6.85,-0.222,45.9,-0.1,4.0,0.085,0.667,0.714,6.0,5.0,0.0,3.0,1.0,9.0,4.0,49.0,341.33,2.0,2.0,1.0,88.85979,58.0,4.666144,2.556736,535.107666
Maftivimab,transgenic_animal,72.15,8.87,-0.264,47.5,3.89,3.0,0.165,0.667,0.714,1.0,1.0,0.0,2.0,1.0,9.0,4.0,44.0,436.97,2.1,1.0,9.3,85.182061,61.0,4.728335,2.0921,590.347818
Manelimab,transgenic_animal,57.97,6.34,-0.149,32.4,-0.93,4.0,0.994,0.778,0.857,4.0,2.0,0.0,3.0,1.0,10.0,4.0,53.0,953.85,1.1,2.0,0.2,89.998465,73.0,4.498457,1.155885,589.642988
Maridebart,phage_display,50.47,7.8,-0.187,42.8,0.82,2.0,2.985,0.889,1.0,10.0,6.0,0.0,2.0,0.0,9.0,4.0,47.0,724.24,1.0,2.0,3.0,84.531514,67.0,4.727645,2.162781,498.61374
Marstacimab,human_b_cell_derived,58.67,5.8,-0.111,45.3,-1.11,4.0,0.991,0.556,0.714,3.0,3.0,0.0,3.0,2.0,7.0,4.0,53.0,665.03,1.0,1.0,0.0,88.207172,66.0,4.69423,1.956751,536.164055
Masavibart,transgenic_animal,75.67,8.29,-0.262,43.6,1.81,4.0,0.086,0.667,0.857,6.0,4.0,0.0,3.0,2.0,8.0,4.0,51.0,200.09,2.0,2.0,2.2,88.60892,72.0,4.583196,0.666108,546.584872
Mavrilimumab,transgenic_animal,55.51,5.21,-0.16,45.6,-4.08,4.0,3.984,0.556,0.571,3.0,3.0,0.0,0.0,0.0,8.0,4.0,52.0,1397.52,2.1,7.0,-9.8,87.332813,68.0,4.631918,0.800967,613.307654
Melrilimab,transgenic_animal,64.3,4.83,-0.21,38.5,-5.18,3.0,1.001,0.667,0.714,8.0,6.0,0.0,2.0,1.0,7.0,4.0,50.0,475.43,2.0,4.0,-0.0,82.32197,66.0,4.671729,1.905817,478.319587
Metelimumab,phage_display,63.22,5.21,-0.309,47.8,-3.1,2.0,1.09,0.667,0.857,6.0,3.0,0.0,3.0,3.0,6.0,4.0,50.0,196.37,1.0,3.0,-0.0,85.617545,70.0,4.49613,0.859135,480.316289
Mevonlerbart,phage_display,70.55,8.61,-0.266,40.5,2.8,3.0,2.919,0.556,0.714,3.0,2.0,0.0,3.0,1.0,8.0,4.0,42.0,392.52,2.0,2.0,4.0,87.713121,59.0,4.74196,2.853736,493.815777
Mibavademab,phage_display,72.56,8.82,-0.254,47.9,3.72,3.0,0.0,0.667,0.857,4.0,2.0,0.0,0.0,3.0,9.0,4.0,47.0,355.91,1.0,1.0,6.0,85.858545,72.0,4.736224,2.403666,559.138414
Micvotabart,transgenic_animal,70.95,8.67,-0.236,45.6,2.81,3.0,1.004,0.556,0.571,5.0,4.0,0.0,2.0,1.0,6.0,4.0,44.0,266.95,1.0,1.0,6.0,85.529834,62.0,4.724877,2.48484,478.836863
Moflerafusp,unlabeled,55.1,8.78,-0.462,42.3,3.98,3.0,2.087,0.556,0.714,1.0,1.0,0.0,1.0,0.0,12.0,4.0,48.0,210.56,1.1,2.0,4.41,80.959572,68.0,4.650944,1.401003,558.820946
Nadecnemab,transgenic_animal,70.42,8.63,-0.215,48.4,2.88,3.0,0.836,0.667,0.714,3.0,2.0,0.0,3.0,0.0,9.0,4.0,51.0,437.57,1.0,1.0,6.3,83.35389,66.0,4.731133,2.417889,498.559753
Namilumab,transgenic_animal,61.33,9.0,-0.344,48.1,4.81,2.0,0.914,0.667,0.714,1.0,1.0,0.0,1.0,0.0,10.0,4.0,46.0,951.17,1.0,1.0,3.0,82.512134,71.0,4.640142,1.102073,544.429697
Narlumosbart,transgenic_animal,74.99,8.89,-0.264,41.5,3.81,3.0,4.003,0.667,0.714,6.0,5.0,0.0,2.0,1.0,8.0,4.0,50.0,435.59,2.0,1.0,4.0,82.748167,66.0,4.660754,1.587182,541.011279
